Profile: Function timing, sorted by time
Date:    Thu Jul 18 21:01:21 2002


Program Statistics
------------------
    Command line at 2002 Jul 18 21:00: "D:\Work\EmperorOfDragons\Game\XLauncher" 
    Total time: 63121.302 millisecond
    Time outside of functions: 5.782 millisecond
    Call depth: 38
    Total functions: 1172
    Total hits: 732624
    Function coverage: 41.3%
    Overhead Calculated 8
    Overhead Average 8

Module Statistics for xlauncher.exe
-----------------------------------
    Time in module: 63115.521 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1172
    Hits in module: 732624
    Module function coverage: 41.3%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       0.018   0.0        0.018   0.0        1 CToolTipCtrl::UpdateTipText(char const *,class CWnd *,unsigned int) (mfc42d.dll)
       0.017   0.0     2616.030   4.1       14 CWnd::OnCommand(unsigned int,long) (mfc42d.dll)
       0.017   0.0        0.017   0.0       12 CPackage::FindResourceA(char *) (package.obj)
       0.016   0.0        1.185   0.0      331 _inflate_codes_new (infcodes.obj)
       0.016   0.0        0.016   0.0        1 CBitmapDialog::SetStaticTransparent(int) (xlauncherdlg.obj)
       0.016   0.0        0.016   0.0        1 CToolTipCtrl::GetToolCount(void) (mfc42d.dll)
       0.016   0.0        0.042   0.0        2 CLabel::~CLabel(void) (label.obj)
       0.014   0.0        0.014   0.0       24 CWnd::AssertValid(void) (mfc42d.dll)
       0.013   0.0        0.013   0.0       69 CString::operator char const *(void) (mfc42d.dll)
       0.013   0.0        0.013   0.0        5 CButton::CButton(void) (mfc42d.dll)
       0.013   0.0        0.013   0.0       71 CString::IsEmpty(void) (mfc42d.dll)
